Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 8.0, 10.0, 0.4995, 100.0)
(1, 7.0, -10.0, 0.4990005, 100.0)
(2, 0.0, -10.0, 0.4985014995, 100.0)
(3, 3.0, -9.553792398850112, 0.4980029980005, 91.27494920032618)
(4, -11.0, 10.0, 0.4975049950024995, 100.0)
(5, 5.0, 10.0, 0.497007490007497, 100.0)
(6, 5.0, 10.0, 0.4965104825174895, 100.0)
(7, -5.0, -10.0, 0.49601397203497205, 100.0)
(8, -3.0, 10.0, 0.4955179580629371, 100.0)
(9, 1.0, -10.0, 0.4950224401048741, 100.0)
(10, -2.0, -10.0, 0.49452741766476926, 100.0)
(11, -7.0, -10.0, 0.4940328902471045, 100.0)
(12, 1.0, -9.106395411941133, 0.4935388573568574, 82.92643739862251)
(13, 6.0, -10.0, 0.4930453184995005, 100.0)
(14, -1.0, 10.0, 0.49255227318100103, 100.0)
(15, 0.0, 6.723532985754467, 0.49205972090782, 45.205895810528375)
(16, -2.0, 10.0, 0.4915676611869122, 100.0)
(17, 0.0, -10.0, 0.4910760935257253, 100.0)
(18, -2.0, 10.0, 0.49058501743219957, 100.0)
(19, 4.0, 10.0, 0.49009443241476736, 100.0)
(20, 6.0, -10.0, 0.4896043379823526, 100.0)
(21, -1.0, -10.0, 0.48911473364437025, 100.0)
(22, -4.0, 10.0, 0.48862561891072587, 100.0)
(23, -1.0, -10.0, 0.48813699329181515, 100.0)
(24, -6.0, -10.0, 0.48764885629852334, 100.0)
(25, -18.0, -10.0, 0.4871612074422248, 100.0)
(26, 0.0, 10.0, 0.48667404623478255, 100.0)
(27, -2.0, 10.0, 0.4861873721885478, 100.0)
(28, -3.0, -10.0, 0.48570118481635927, 100.0)
(29, -1.0, -10.0, 0.48521548363154293, 100.0)
(30, 2.0, -3.443394685085753, 0.48473026814791137, 11.856966957276812)
(31, 0.0, 10.0, 0.48424553787976343, 100.0)
(32, 1.0, -10.0, 0.48376129234188364, 100.0)
(33, -18.0, -10.0, 0.48327753104954174, 100.0)
(34, 0.0, 10.0, 0.4827942535184922, 100.0)
(35, -1.0, -10.0, 0.4823114592649737, 100.0)
(36, 1.0, -10.0, 0.48182914780570874, 100.0)
(37, 15.0, -10.0, 0.48134731865790303, 100.0)
(38, -6.0, -10.0, 0.48086597133924514, 100.0)
(39, 11.0, 10.0, 0.4803851053679059, 100.0)
(40, -1.0, 6.501474981294624, 0.479904720262538, 42.26917693239994)
(41, 0.0, -10.0, 0.47942481554227545, 100.0)
(42, 7.0, 10.0, 0.4789453907267332, 100.0)
(43, -2.0, 10.0, 0.47846644533600646, 100.0)
(44, -1.0, 10.0, 0.47798797889067046, 100.0)
(45, -4.0, -10.0, 0.4775099909117798, 100.0)
(46, 5.0, 10.0, 0.47703248092086803, 100.0)
(47, 4.0, 10.0, 0.4765554484399472, 100.0)
(48, -5.0, 10.0, 0.47607889299150724, 100.0)
(49, 2.0, 10.0, 0.47560281409851574, 100.0)
(50, 13.0, 10.0, 0.4751272112844172, 100.0)
(51, -4.0, -10.0, 0.4746520840731328, 100.0)
(52, 4.0, 10.0, 0.47417743198905965, 100.0)
(53, -8.0, -10.0, 0.4737032545570706, 100.0)
(54, 0.0, -10.0, 0.4732295513025135, 100.0)
(55, 0.0, -9.959612132425304, 0.47275632175121096, 99.19387382835332)
(56, -2.0, -10.0, 0.47228356542945976, 100.0)
(57, 1.0, -10.0, 0.4718112818640303, 100.0)
(58, -9.0, 10.0, 0.4713394705821663, 100.0)
(59, 0.0, 0.820079161287282, 0.47086813111158415, 0.6725298307776518)
(60, 0.0, -10.0, 0.4703972629804726, 100.0)
(61, -5.0, -10.0, 0.4699268657174921, 100.0)
(62, 4.0, -10.0, 0.4694569388517746, 100.0)
(63, 2.0, -10.0, 0.46898748191292283, 100.0)
(64, -13.0, 10.0, 0.4685184944310099, 100.0)
(65, -14.0, -10.0, 0.4680499759365789, 100.0)
(66, -1.0, -10.0, 0.4675819259606423, 100.0)
(67, -3.0, 10.0, 0.46711434403468166, 100.0)
(68, -4.0, -1.616353493556442, 0.466647229690647, 2.6125986161321153)
(69, -2.0, 10.0, 0.46618058246095634, 100.0)
(70, 3.0, -10.0, 0.4657144018784954, 100.0)
(71, -4.0, 10.0, 0.4652486874766169, 100.0)
(72, 7.0, -10.0, 0.4647834387891403, 100.0)
(73, -10.0, -10.0, 0.46431865535035116, 100.0)
(74, 10.0, -10.0, 0.4638543366950008, 100.0)
(75, 2.0, 10.0, 0.4633904823583058, 100.0)
(76, -2.0, -10.0, 0.4629270918759475, 100.0)
(77, 0.0, -10.0, 0.46246416478407154, 100.0)
(78, -1.0, 10.0, 0.46200170061928747, 100.0)
(79, 2.0, 9.97756118827373, 0.4615396989186682, 99.5517272657463)
(80, 0.0, 10.0, 0.46107815921974954, 100.0)
(81, 3.0, 10.0, 0.4606170810605298, 100.0)
(82, 2.0, -1.1108597724595413, 0.46015646397946924, 1.2340094340688639)
(83, 7.0, -10.0, 0.4596963075154898, 100.0)
(84, 3.0, -10.0, 0.4592366112079743, 100.0)
(85, 0.0, 10.0, 0.4587773745967664, 100.0)
(86, 3.0, -10.0, 0.4583185972221696, 100.0)
(87, 0.0, 3.4620859044088608, 0.45786027862494744, 11.98603880950652)
(88, -10.0, 10.0, 0.4574024183463225, 100.0)
(89, -1.0, -10.0, 0.4569450159279762, 100.0)
(90, -8.0, 10.0, 0.45648807091204824, 100.0)
(91, 0.0, -10.0, 0.4560315828411362, 100.0)
(92, 1.0, -10.0, 0.4555755512582951, 100.0)
(93, 4.0, 10.0, 0.4551199757070368, 100.0)
(94, -1.0, 10.0, 0.45466485573132975, 100.0)
(95, -6.0, -10.0, 0.45421019087559844, 100.0)
(96, 2.0, 10.0, 0.45375598068472284, 100.0)
(97, 1.0, -10.0, 0.45330222470403814, 100.0)
(98, 2.0, -10.0, 0.4528489224793341, 100.0)
(99, -6.0, -10.0, 0.4523960735568548, 100.0)
(100, -9.0, -4.182770898182991, 0.45194367748329795, 17.495572386686543)
(101, -1.0, -10.0, 0.45149173380581464, 100.0)
(102, 1.0, 10.0, 0.4510402420720088, 100.0)
(103, 7.0, -10.0, 0.45058920182993684, 100.0)
(104, -9.0, -10.0, 0.4501386126281069, 100.0)
(105, 2.0, -10.0, 0.4496884740154788, 100.0)
(106, -3.0, -3.5756112978467622, 0.4492387855414633, 12.784996153289407)
(107, 3.0, -10.0, 0.4487895467559218, 100.0)
(108, -1.0, -10.0, 0.4483407572091659, 100.0)
(109, 5.0, 10.0, 0.4478924164519567, 100.0)
(110, -7.0, -10.0, 0.4474445240355048, 100.0)
(111, 0.0, -10.0, 0.4469970795114693, 100.0)
(112, -1.0, 10.0, 0.4465500824319578, 100.0)
