Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, -1.0, -5.196461308585316, 0.4995, 27.00321013162421)
(1, 0.0, -6.36239202352248, 0.4990005, 40.480032260982476)
(2, 2.0, 10.0, 0.4985014995, 100.0)
(3, -5.0, 10.0, 0.4980029980005, 100.0)
(4, 1.0, 10.0, 0.4975049950024995, 100.0)
(5, 0.0, -7.531421575558063, 0.497007490007497, 56.7223109487815)
(6, -5.0, 6.879023525654589, 0.4965104825174895, 47.3209646665093)
(7, 1.0, 10.0, 0.49601397203497205, 100.0)
(8, 0.0, 10.0, 0.4955179580629371, 100.0)
(9, 12.0, 0.43519204573163783, 0.4950224401048741, 0.18939211666808795)
(10, 1.0, 10.0, 0.49452741766476926, 100.0)
(11, -1.0, 6.836209187846987, 0.4940328902471045, 46.733756060003564)
(12, 1.0, -10.0, 0.4935388573568574, 100.0)
(13, 2.0, -9.931437451694736, 0.4930453184995005, 98.63344985692483)
(14, -13.0, -7.021032900243927, 0.49255227318100103, 49.294902986307655)
(15, 2.0, -10.0, 0.49205972090782, 100.0)
(16, 5.0, -10.0, 0.4915676611869122, 100.0)
(17, 5.0, -10.0, 0.4910760935257253, 100.0)
(18, 0.0, 10.0, 0.49058501743219957, 100.0)
(19, -8.0, 7.071658710900266, 0.49009443241476736, 50.008356923451615)
(20, 3.0, -10.0, 0.4896043379823526, 100.0)
(21, -4.0, 0.704342479128752, 0.48911473364437025, 0.4960983279052365)
(22, 2.0, -10.0, 0.48862561891072587, 100.0)
(23, 0.0, 6.03686632680445, 0.48813699329181515, 36.44375504770545)
(24, -2.0, -10.0, 0.48764885629852334, 100.0)
(25, -2.0, -10.0, 0.4871612074422248, 100.0)
(26, -12.0, -10.0, 0.48667404623478255, 100.0)
(27, 5.0, -10.0, 0.4861873721885478, 100.0)
(28, 0.0, 4.425070211830882, 0.48570118481635927, 19.581246379633004)
(29, -2.0, -10.0, 0.48521548363154293, 100.0)
(30, 2.0, -10.0, 0.48473026814791137, 100.0)
(31, 4.0, -10.0, 0.48424553787976343, 100.0)
(32, 6.0, -10.0, 0.48376129234188364, 100.0)
(33, -8.0, -10.0, 0.48327753104954174, 100.0)
(34, -7.0, 0.055641999593314395, 0.4827942535184922, 0.0030960321187423995)
(35, -6.0, -10.0, 0.4823114592649737, 100.0)
(36, 3.0, 10.0, 0.48182914780570874, 100.0)
(37, 0.0, 0.08049158034888748, 0.48134731865790303, 0.006478894507061409)
(38, 8.0, -10.0, 0.48086597133924514, 100.0)
(39, 3.0, -0.3195782566151255, 0.4803851053679059, 0.10213026210116301)
(40, 1.0, -10.0, 0.479904720262538, 100.0)
(41, -1.0, -5.351105450507314, 0.47942481554227545, 28.63432954244908)
(42, 2.0, -10.0, 0.4789453907267332, 100.0)
(43, -4.0, 7.570222967876772, 0.47846644533600646, 57.308275783369)
(44, 8.0, -10.0, 0.47798797889067046, 100.0)
(45, 4.0, -2.6539338103285353, 0.4775099909117798, 7.043364669604938)
(46, -2.0, -4.744038458452619, 0.47703248092086803, 22.5059008952775)
(47, 2.0, -9.504435456919062, 0.4765554484399472, 90.33429335474025)
(48, -10.0, -10.0, 0.47607889299150724, 100.0)
(49, -27.0, -10.0, 0.47560281409851574, 100.0)
(50, -8.0, -1.9815234155625503, 0.4751272112844172, 3.9264350464226756)
(51, -1.0, -10.0, 0.4746520840731328, 100.0)
(52, 3.0, 10.0, 0.47417743198905965, 100.0)
(53, 1.0, -9.964894797575026, 0.4737032545570706, 99.29912832673782)
(54, 4.0, -3.9317944298993552, 0.4732295513025135, 15.459007438987596)
(55, 5.0, -5.032285456521274, 0.47275632175121096, 25.323896915915526)
(56, -1.0, 10.0, 0.47228356542945976, 100.0)
(57, 1.0, -10.0, 0.4718112818640303, 100.0)
(58, 5.0, -10.0, 0.4713394705821663, 100.0)
(59, 8.0, -10.0, 0.47086813111158415, 100.0)
(60, 9.0, -10.0, 0.4703972629804726, 100.0)
(61, 2.0, -10.0, 0.4699268657174921, 100.0)
(62, 0.0, -10.0, 0.4694569388517746, 100.0)
(63, -5.0, -10.0, 0.46898748191292283, 100.0)
(64, 1.0, 6.9465612213584, 0.4685184944310099, 48.254712802080306)
(65, 2.0, -10.0, 0.4680499759365789, 100.0)
(66, 1.0, -10.0, 0.4675819259606423, 100.0)
(67, 1.0, -10.0, 0.46711434403468166, 100.0)
(68, -7.0, -8.167159668835353, 0.466647229690647, 66.70249705625079)
(69, 3.0, -10.0, 0.46618058246095634, 100.0)
