Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 2.0, -10.0, 0.4995, 100.0)
(1, -1.0, 10.0, 0.4990005, 100.0)
(2, -7.0, 0.5502038815890069, 0.4985014995, 0.30272431131560995)
(3, 12.0, 10.0, 0.4980029980005, 100.0)
(4, 0.0, 9.574501592556945, 0.4975049950024995, 91.67108074587549)
(5, -2.0, -0.5254763772628124, 0.497007490007497, 0.27612542306124954)
(6, 0.0, 10.0, 0.4965104825174895, 100.0)
(7, -5.0, 3.1803799133986925, 0.49601397203497205, 10.114816393549875)
(8, 4.0, -1.33366305892958, 0.4955179580629371, 1.7786571547534042)
(9, -3.0, 0.6614190161427951, 0.4950224401048741, 0.437475114915303)
(10, 2.0, -10.0, 0.49452741766476926, 100.0)
(11, -2.0, -10.0, 0.4940328902471045, 100.0)
(12, -2.0, -3.7312404913776263, 0.4935388573568574, 13.92215560449595)
(13, 0.0, -10.0, 0.4930453184995005, 100.0)
(14, 2.0, 3.4861444229495637, 0.49255227318100103, 12.153202937662346)
(15, 1.0, -10.0, 0.49205972090782, 100.0)
(16, -4.0, -10.0, 0.4915676611869122, 100.0)
(17, 6.0, -6.806152169568383, 0.4910760935257253, 46.32370735532041)
(18, -2.0, -10.0, 0.49058501743219957, 100.0)
(19, -5.0, -10.0, 0.49009443241476736, 100.0)
(20, -10.0, -0.17363219663953955, 0.4896043379823526, 0.030148139709871728)
(21, -1.0, 9.821285742207195, 0.48911473364437025, 96.45765363008233)
(22, -18.0, 1.070781082517767, 0.48862561891072587, 1.146572126677921)
(23, 4.0, -5.143164497071937, 0.48813699329181515, 26.452141043941232)
(24, 3.0, -10.0, 0.48764885629852334, 100.0)
(25, -6.0, -10.0, 0.4871612074422248, 100.0)
(26, -5.0, -10.0, 0.48667404623478255, 100.0)
(27, 9.0, -10.0, 0.4861873721885478, 100.0)
(28, -3.0, 0.7363918706397456, 0.48570118481635927, 0.5422729871443039)
(29, 6.0, -10.0, 0.48521548363154293, 100.0)
(30, 8.0, -10.0, 0.48473026814791137, 100.0)
(31, 2.0, -10.0, 0.48424553787976343, 100.0)
(32, -4.0, -10.0, 0.48376129234188364, 100.0)
(33, -1.0, -10.0, 0.48327753104954174, 100.0)
(34, 5.0, -10.0, 0.4827942535184922, 100.0)
(35, 2.0, -10.0, 0.4823114592649737, 100.0)
(36, 0.0, 2.9422594793646857, 0.48182914780570874, 8.656890843911352)
(37, 1.0, -10.0, 0.48134731865790303, 100.0)
(38, 6.0, -10.0, 0.48086597133924514, 100.0)
(39, -4.0, -6.728060302493773, 0.4803851053679059, 45.266795433992606)
