Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 3.0, -10.0, 0.4995, 100.0)
(1, 1.0, -10.0, 0.4990005, 100.0)
(2, 1.0, 10.0, 0.4985014995, 100.0)
(3, 1.0, -10.0, 0.4980029980005, 100.0)
(4, -1.0, 1.9335540236385853, 0.4975049950024995, 3.738631162328963)
(5, -7.0, -10.0, 0.497007490007497, 100.0)
(6, -3.0, -10.0, 0.4965104825174895, 100.0)
(7, -8.0, -5.617005545746162, 0.49601397203497205, 31.550751300943137)
(8, 1.0, -10.0, 0.4955179580629371, 100.0)
(9, -6.0, -5.932044870445512, 0.4950224401048741, 35.18915634497892)
(10, 1.0, -10.0, 0.49452741766476926, 100.0)
(11, 1.0, -1.275282872043043, 0.4940328902471045, 1.6263464037263522)
(12, 4.0, 3.701495403045687, 0.4935388573568574, 13.701068218768354)
(13, 8.0, 1.9134671144575002, 0.4930453184995005, 3.661356398110312)
(14, 8.0, -10.0, 0.49255227318100103, 100.0)
(15, -1.0, 10.0, 0.49205972090782, 100.0)
(16, 0.0, -10.0, 0.4915676611869122, 100.0)
(17, 6.0, 10.0, 0.4910760935257253, 100.0)
(18, -5.0, 10.0, 0.49058501743219957, 100.0)
(19, 1.0, 1.238670485395438, 0.49009443241476736, 1.53430457138977)
(20, 20.0, 10.0, 0.4896043379823526, 100.0)
(21, 3.0, -10.0, 0.48911473364437025, 100.0)
(22, 1.0, -10.0, 0.48862561891072587, 100.0)
(23, -3.0, -10.0, 0.48813699329181515, 100.0)
(24, -7.0, 10.0, 0.48764885629852334, 100.0)
(25, 2.0, 10.0, 0.4871612074422248, 100.0)
(26, 1.0, 10.0, 0.48667404623478255, 100.0)
(27, 0.0, 10.0, 0.4861873721885478, 100.0)
(28, 0.0, -10.0, 0.48570118481635927, 100.0)
(29, 1.0, 10.0, 0.48521548363154293, 100.0)
(30, 3.0, -1.2011021206165795, 0.48473026814791137, 1.4426463041496442)
(31, -11.0, -10.0, 0.48424553787976343, 100.0)
(32, 0.0, -6.956626064915156, 0.48376129234188364, 48.39464620705693)
(33, 6.0, 10.0, 0.48327753104954174, 100.0)
(34, 0.0, -10.0, 0.4827942535184922, 100.0)
(35, -1.0, 10.0, 0.4823114592649737, 100.0)
(36, -3.0, -10.0, 0.48182914780570874, 100.0)
(37, 1.0, -10.0, 0.48134731865790303, 100.0)
(38, 2.0, 10.0, 0.48086597133924514, 100.0)
(39, 9.0, -9.468405629453766, 0.4803851053679059, 89.65070516387178)
(40, 9.0, -8.941103847008225, 0.479904720262538, 79.94333800298529)
(41, 0.0, 7.690690428589942, 0.47942481554227545, 59.14671926840495)
(42, 1.0, 10.0, 0.4789453907267332, 100.0)
(43, -2.0, 10.0, 0.47846644533600646, 100.0)
(44, 1.0, 0.6613558338616876, 0.47798797889067046, 0.43739153898288813)
(45, -7.0, 10.0, 0.4775099909117798, 100.0)
(46, 5.0, 10.0, 0.47703248092086803, 100.0)
(47, 11.0, -6.9269271667807235, 0.4765554484399472, 47.98231997388482)
(48, 7.0, 10.0, 0.47607889299150724, 100.0)
(49, -1.0, 10.0, 0.47560281409851574, 100.0)
(50, 1.0, -10.0, 0.4751272112844172, 100.0)
(51, 3.0, 10.0, 0.4746520840731328, 100.0)
(52, 0.0, -10.0, 0.47417743198905965, 100.0)
(53, 0.0, -10.0, 0.4737032545570706, 100.0)
(54, 2.0, 10.0, 0.4732295513025135, 100.0)
(55, 3.0, 10.0, 0.47275632175121096, 100.0)
(56, 0.0, 0.8170947061209715, 0.47228356542945976, 0.6676437587709168)
(57, 1.0, -10.0, 0.4718112818640303, 100.0)
(58, 0.0, -10.0, 0.4713394705821663, 100.0)
(59, -1.0, -10.0, 0.47086813111158415, 100.0)
(60, -5.0, -2.2342692113584075, 0.4703972629804726, 4.99195890882412)
