Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 13.0, 10.0, 0.4995, 100.0)
(1, -2.0, -6.6082752984154025, 0.4990005, 43.669302419647174)
(2, -1.0, -5.86279526709, 0.4985014995, 34.37236834381291)
(3, 8.0, -10.0, 0.4980029980005, 100.0)
(4, 4.0, -10.0, 0.4975049950024995, 100.0)
(5, 3.0, 10.0, 0.497007490007497, 100.0)
(6, 7.0, 10.0, 0.4965104825174895, 100.0)
(7, 2.0, -10.0, 0.49601397203497205, 100.0)
(8, 0.0, 10.0, 0.4955179580629371, 100.0)
(9, 0.0, -5.118803396121784, 0.4950224401048741, 26.20214820814791)
(10, 1.0, 10.0, 0.49452741766476926, 100.0)
(11, -7.0, -9.225186630095038, 0.4940328902471045, 85.10406836008424)
(12, -2.0, -10.0, 0.4935388573568574, 100.0)
(13, -7.0, -10.0, 0.4930453184995005, 100.0)
(14, -1.0, 10.0, 0.49255227318100103, 100.0)
(15, 10.0, -10.0, 0.49205972090782, 100.0)
(16, 2.0, -10.0, 0.4915676611869122, 100.0)
(17, 9.0, -10.0, 0.4910760935257253, 100.0)
(18, -2.0, 10.0, 0.49058501743219957, 100.0)
(19, 0.0, 10.0, 0.49009443241476736, 100.0)
(20, 3.0, -10.0, 0.4896043379823526, 100.0)
(21, 1.0, -10.0, 0.48911473364437025, 100.0)
(22, -2.0, -10.0, 0.48862561891072587, 100.0)
(23, 0.0, -10.0, 0.48813699329181515, 100.0)
(24, -8.0, -10.0, 0.48764885629852334, 100.0)
(25, -2.0, 10.0, 0.4871612074422248, 100.0)
(26, -1.0, -10.0, 0.48667404623478255, 100.0)
(27, 0.0, 10.0, 0.4861873721885478, 100.0)
(28, -1.0, 8.718896503558057, 0.48570118481635927, 76.01915623975691)
(29, 2.0, 10.0, 0.48521548363154293, 100.0)
(30, -2.0, 0.010222377148667139, 0.48473026814791137, 0.0001044969945695921)
(31, 1.0, -10.0, 0.48424553787976343, 100.0)
(32, -2.0, -10.0, 0.48376129234188364, 100.0)
(33, 4.0, -3.1805708449426895, 0.48327753104954174, 10.116030899699453)
(34, 5.0, 10.0, 0.4827942535184922, 100.0)
(35, -5.0, -10.0, 0.4823114592649737, 100.0)
(36, 2.0, 10.0, 0.48182914780570874, 100.0)
(37, 1.0, 10.0, 0.48134731865790303, 100.0)
(38, -2.0, 2.702102156158306, 0.48086597133924514, 7.3013560623153655)
(39, -5.0, -6.577304809929821, 0.4803851053679059, 43.260938562725954)
(40, 1.0, -10.0, 0.479904720262538, 100.0)
(41, -10.0, 10.0, 0.47942481554227545, 100.0)
(42, 3.0, -10.0, 0.4789453907267332, 100.0)
(43, -1.0, 10.0, 0.47846644533600646, 100.0)
(44, 5.0, -5.015191711327384, 0.47798797889067046, 25.1521479013669)
(45, -2.0, 10.0, 0.4775099909117798, 100.0)
(46, 5.0, -10.0, 0.47703248092086803, 100.0)
(47, 1.0, 10.0, 0.4765554484399472, 100.0)
(48, 5.0, -10.0, 0.47607889299150724, 100.0)
(49, 1.0, 10.0, 0.47560281409851574, 100.0)
(50, 0.0, 10.0, 0.4751272112844172, 100.0)
(51, -2.0, -10.0, 0.4746520840731328, 100.0)
(52, -4.0, -10.0, 0.47417743198905965, 100.0)
(53, 1.0, 10.0, 0.4737032545570706, 100.0)
(54, -3.0, 10.0, 0.4732295513025135, 100.0)
(55, -1.0, -10.0, 0.47275632175121096, 100.0)
(56, -8.0, 10.0, 0.47228356542945976, 100.0)
(57, 7.0, -10.0, 0.4718112818640303, 100.0)
(58, 0.0, -9.068823376694347, 0.4713394705821663, 82.24355743767785)
(59, 2.0, -10.0, 0.47086813111158415, 100.0)
(60, -7.0, -10.0, 0.4703972629804726, 100.0)
(61, -2.0, -2.850177588976901, 0.4699268657174921, 8.12351228870618)
(62, 0.0, -10.0, 0.4694569388517746, 100.0)
(63, 1.0, -10.0, 0.46898748191292283, 100.0)
(64, 5.0, 10.0, 0.4685184944310099, 100.0)
(65, -9.0, 3.2088317556104027, 0.4680499759365789, 10.296601235813739)
(66, 0.0, 4.124889479488573, 0.4675819259606423, 17.01471321799551)
(67, -3.0, 10.0, 0.46711434403468166, 100.0)
(68, 5.0, 10.0, 0.466647229690647, 100.0)
(69, -2.0, -10.0, 0.46618058246095634, 100.0)
(70, -3.0, 6.688465327541176, 0.4657144018784954, 44.735568437720495)
(71, 9.0, 10.0, 0.4652486874766169, 100.0)
(72, -4.0, -10.0, 0.4647834387891403, 100.0)
(73, -1.0, -10.0, 0.46431865535035116, 100.0)
(74, -2.0, -10.0, 0.4638543366950008, 100.0)
(75, -2.0, -10.0, 0.4633904823583058, 100.0)
(76, 1.0, -10.0, 0.4629270918759475, 100.0)
(77, -4.0, -10.0, 0.46246416478407154, 100.0)
(78, -1.0, 10.0, 0.46200170061928747, 100.0)
(79, 6.0, -10.0, 0.4615396989186682, 100.0)
(80, 0.0, 10.0, 0.46107815921974954, 100.0)
(81, 7.0, -9.84134879526869, 0.4606170810605298, 96.8521461101365)
(82, 3.0, -3.0699622458296165, 0.46015646397946924, 9.424668190819222)
(83, 7.0, -10.0, 0.4596963075154898, 100.0)
(84, 0.0, 10.0, 0.4592366112079743, 100.0)
(85, 2.0, 2.001826117402926, 0.4587773745967664, 4.007307804316473)
(86, 3.0, -10.0, 0.4583185972221696, 100.0)
(87, 7.0, -10.0, 0.45786027862494744, 100.0)
(88, -16.0, 10.0, 0.4574024183463225, 100.0)
