Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 6.0, 10.0, 0.4995, 100.0)
(1, 7.0, 10.0, 0.4990005, 100.0)
(2, 13.0, 10.0, 0.4985014995, 100.0)
(3, -9.0, -2.12976497612919, 0.4980029980005, 4.53589885354657)
(4, 1.0, 5.721568088253852, 0.4975049950024995, 32.736341388524835)
(5, -9.0, 10.0, 0.497007490007497, 100.0)
(6, 0.0, -10.0, 0.4965104825174895, 100.0)
(7, -11.0, -10.0, 0.49601397203497205, 100.0)
(8, 0.0, -10.0, 0.4955179580629371, 100.0)
(9, 0.0, -9.638354149393447, 0.4950224401048741, 92.89787070912988)
(10, 6.0, 9.004756682564738, 0.49452741766476926, 81.0856429121943)
(11, 0.0, 10.0, 0.4940328902471045, 100.0)
(12, -3.0, -10.0, 0.4935388573568574, 100.0)
(13, 3.0, -10.0, 0.4930453184995005, 100.0)
(14, -2.0, -10.0, 0.49255227318100103, 100.0)
(15, 2.0, -2.242059404713695, 0.49205972090782, 5.026830374265128)
(16, -7.0, -10.0, 0.4915676611869122, 100.0)
(17, -3.0, 10.0, 0.4910760935257253, 100.0)
(18, 0.0, -10.0, 0.49058501743219957, 100.0)
(19, -3.0, 10.0, 0.49009443241476736, 100.0)
(20, 8.0, -10.0, 0.4896043379823526, 100.0)
(21, 3.0, -0.16638264507226808, 0.48911473364437025, 0.027683184581244333)
(22, -5.0, 9.236158785730247, 0.48862561891072587, 85.30662911522202)
(23, 16.0, -7.143813052267232, 0.48813699329181515, 51.034064925743664)
(24, 0.0, -10.0, 0.48764885629852334, 100.0)
(25, -4.0, 10.0, 0.4871612074422248, 100.0)
(26, 10.0, -4.300840816649917, 0.48667404623478255, 18.49723173016192)
(27, 0.0, -10.0, 0.4861873721885478, 100.0)
(28, 1.0, 1.172834460790888, 0.48570118481635927, 1.3755406724186532)
(29, -1.0, 4.496956662998304, 0.48521548363154293, 20.222619228884845)
(30, 18.0, 0.05077774845309513, 0.48473026814791137, 0.002578379737965805)
(31, -1.0, -10.0, 0.48424553787976343, 100.0)
(32, 5.0, -10.0, 0.48376129234188364, 100.0)
(33, 3.0, 10.0, 0.48327753104954174, 100.0)
(34, -1.0, -10.0, 0.4827942535184922, 100.0)
(35, 0.0, 10.0, 0.4823114592649737, 100.0)
(36, -2.0, -10.0, 0.48182914780570874, 100.0)
(37, 20.0, -10.0, 0.48134731865790303, 100.0)
(38, -2.0, 10.0, 0.48086597133924514, 100.0)
(39, 4.0, 10.0, 0.4803851053679059, 100.0)
(40, 7.0, -10.0, 0.479904720262538, 100.0)
(41, -1.0, -4.114035020352359, 0.47942481554227545, 16.925284148685638)
(42, -1.0, 10.0, 0.4789453907267332, 100.0)
(43, 0.0, 10.0, 0.47846644533600646, 100.0)
