Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, -2.0, -9.497824966978781, 0.4995, 90.20867910336548)
(1, -6.0, 7.097433057352633, 0.4990005, 50.37355600360195)
(2, -4.0, 10.0, 0.4985014995, 100.0)
(3, 3.0, 10.0, 0.4980029980005, 100.0)
(4, -4.0, 10.0, 0.4975049950024995, 100.0)
(5, 3.0, 10.0, 0.497007490007497, 100.0)
(6, 1.0, 10.0, 0.4965104825174895, 100.0)
(7, -1.0, 10.0, 0.49601397203497205, 100.0)
(8, 6.0, 10.0, 0.4955179580629371, 100.0)
(9, -3.0, 10.0, 0.4950224401048741, 100.0)
(10, -3.0, 10.0, 0.49452741766476926, 100.0)
(11, 1.0, 10.0, 0.4940328902471045, 100.0)
(12, 3.0, 10.0, 0.4935388573568574, 100.0)
(13, 2.0, 10.0, 0.4930453184995005, 100.0)
(14, -10.0, 10.0, 0.49255227318100103, 100.0)
(15, -3.0, 10.0, 0.49205972090782, 100.0)
(16, 0.0, 10.0, 0.4915676611869122, 100.0)
(17, 0.0, 10.0, 0.4910760935257253, 100.0)
(18, 0.0, 10.0, 0.49058501743219957, 100.0)
(19, -1.0, 10.0, 0.49009443241476736, 100.0)
(20, 1.0, 10.0, 0.4896043379823526, 100.0)
(21, 8.0, 10.0, 0.48911473364437025, 100.0)
(22, 1.0, 10.0, 0.48862561891072587, 100.0)
(23, 4.0, 10.0, 0.48813699329181515, 100.0)
(24, -29.0, 10.0, 0.48764885629852334, 100.0)
(25, 0.0, 10.0, 0.4871612074422248, 100.0)
(26, -9.0, 10.0, 0.48667404623478255, 100.0)
(27, -2.0, 10.0, 0.4861873721885478, 100.0)
(28, 1.0, 10.0, 0.48570118481635927, 100.0)
(29, 3.0, 10.0, 0.48521548363154293, 100.0)
(30, 0.0, 10.0, 0.48473026814791137, 100.0)
(31, 1.0, 10.0, 0.48424553787976343, 100.0)
(32, 2.0, 10.0, 0.48376129234188364, 100.0)
(33, -5.0, 10.0, 0.48327753104954174, 100.0)
(34, -6.0, 10.0, 0.4827942535184922, 100.0)
(35, 0.0, 10.0, 0.4823114592649737, 100.0)
(36, 2.0, 10.0, 0.48182914780570874, 100.0)
(37, 4.0, 10.0, 0.48134731865790303, 100.0)
(38, 0.0, 10.0, 0.48086597133924514, 100.0)
(39, 1.0, 10.0, 0.4803851053679059, 100.0)
(40, -21.0, 10.0, 0.479904720262538, 100.0)
(41, -8.0, 10.0, 0.47942481554227545, 100.0)
(42, -11.0, 10.0, 0.4789453907267332, 100.0)
(43, 1.0, 10.0, 0.47846644533600646, 100.0)
(44, -1.0, 10.0, 0.47798797889067046, 100.0)
(45, -2.0, 10.0, 0.4775099909117798, 100.0)
(46, -1.0, 10.0, 0.47703248092086803, 100.0)
(47, 0.0, 10.0, 0.4765554484399472, 100.0)
(48, 14.0, 10.0, 0.47607889299150724, 100.0)
(49, 5.0, 10.0, 0.47560281409851574, 100.0)
(50, 2.0, 10.0, 0.4751272112844172, 100.0)
(51, -1.0, 10.0, 0.4746520840731328, 100.0)
(52, 0.0, 10.0, 0.47417743198905965, 100.0)
(53, -2.0, 10.0, 0.4737032545570706, 100.0)
(54, -7.0, 10.0, 0.4732295513025135, 100.0)
(55, 0.0, 10.0, 0.47275632175121096, 100.0)
(56, 1.0, 10.0, 0.47228356542945976, 100.0)
(57, 4.0, 10.0, 0.4718112818640303, 100.0)
(58, 9.0, 7.161573449044927, 0.4713394705821663, 51.288134266065256)
(59, 5.0, 10.0, 0.47086813111158415, 100.0)
(60, -4.0, 10.0, 0.4703972629804726, 100.0)
(61, 3.0, 10.0, 0.4699268657174921, 100.0)
(62, 0.0, 10.0, 0.4694569388517746, 100.0)
(63, -1.0, 10.0, 0.46898748191292283, 100.0)
(64, 4.0, 10.0, 0.4685184944310099, 100.0)
(65, 1.0, 10.0, 0.4680499759365789, 100.0)
(66, 3.0, 10.0, 0.4675819259606423, 100.0)
(67, 4.0, 10.0, 0.46711434403468166, 100.0)
(68, 0.0, 10.0, 0.466647229690647, 100.0)
(69, -4.0, 10.0, 0.46618058246095634, 100.0)
(70, 2.0, 10.0, 0.4657144018784954, 100.0)
(71, -10.0, 10.0, 0.4652486874766169, 100.0)
(72, -2.0, 10.0, 0.4647834387891403, 100.0)
(73, 8.0, 10.0, 0.46431865535035116, 100.0)
(74, 0.0, 10.0, 0.4638543366950008, 100.0)
(75, -4.0, 10.0, 0.4633904823583058, 100.0)
(76, 1.0, 9.357193414936585, 0.4629270918759475, 87.55706860453259)
(77, -2.0, 10.0, 0.46246416478407154, 100.0)
(78, -2.0, 10.0, 0.46200170061928747, 100.0)
(79, -10.0, 10.0, 0.4615396989186682, 100.0)
(80, -3.0, 10.0, 0.46107815921974954, 100.0)
(81, -1.0, 10.0, 0.4606170810605298, 100.0)
(82, 1.0, -4.033249966768056, 0.46015646397946924, 16.26710529443453)
(83, -1.0, 10.0, 0.4596963075154898, 100.0)
(84, -8.0, 10.0, 0.4592366112079743, 100.0)
(85, 4.0, 10.0, 0.4587773745967664, 100.0)
(86, -2.0, 10.0, 0.4583185972221696, 100.0)
(87, 1.0, 3.0948031869258124, 0.45786027862494744, 9.577806765806164)
(88, 5.0, 10.0, 0.4574024183463225, 100.0)
(89, -2.0, 10.0, 0.4569450159279762, 100.0)
(90, 6.0, 10.0, 0.45648807091204824, 100.0)
(91, -1.0, 10.0, 0.4560315828411362, 100.0)
(92, -3.0, 10.0, 0.4555755512582951, 100.0)
(93, -8.0, 10.0, 0.4551199757070368, 100.0)
(94, -4.0, 10.0, 0.45466485573132975, 100.0)
(95, 0.0, 10.0, 0.45421019087559844, 100.0)
(96, -4.0, 10.0, 0.45375598068472284, 100.0)
(97, -1.0, 10.0, 0.45330222470403814, 100.0)
