Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, -1.0, -6.2880192068693495, 0.4995, 39.53918554595784)
(1, 2.0, 10.0, 0.4990005, 100.0)
(2, -2.0, 10.0, 0.4985014995, 100.0)
(3, 0.0, 10.0, 0.4980029980005, 100.0)
(4, -2.0, 10.0, 0.4975049950024995, 100.0)
(5, -1.0, 10.0, 0.497007490007497, 100.0)
(6, 2.0, 10.0, 0.4965104825174895, 100.0)
(7, 0.0, 10.0, 0.49601397203497205, 100.0)
(8, 0.0, 10.0, 0.4955179580629371, 100.0)
(9, 1.0, 10.0, 0.4950224401048741, 100.0)
(10, 0.0, 10.0, 0.49452741766476926, 100.0)
(11, -18.0, 10.0, 0.4940328902471045, 100.0)
(12, 2.0, 10.0, 0.4935388573568574, 100.0)
(13, 14.0, 10.0, 0.4930453184995005, 100.0)
(14, 4.0, 10.0, 0.49255227318100103, 100.0)
(15, -2.0, 10.0, 0.49205972090782, 100.0)
(16, 1.0, 10.0, 0.4915676611869122, 100.0)
(17, 4.0, 10.0, 0.4910760935257253, 100.0)
(18, -4.0, 10.0, 0.49058501743219957, 100.0)
(19, -13.0, 10.0, 0.49009443241476736, 100.0)
(20, 0.0, 10.0, 0.4896043379823526, 100.0)
(21, -4.0, 10.0, 0.48911473364437025, 100.0)
(22, -1.0, 10.0, 0.48862561891072587, 100.0)
(23, 5.0, 10.0, 0.48813699329181515, 100.0)
(24, 19.0, 10.0, 0.48764885629852334, 100.0)
(25, 3.0, 10.0, 0.4871612074422248, 100.0)
(26, 2.0, 10.0, 0.48667404623478255, 100.0)
(27, -4.0, 10.0, 0.4861873721885478, 100.0)
(28, -6.0, 10.0, 0.48570118481635927, 100.0)
(29, -3.0, 10.0, 0.48521548363154293, 100.0)
(30, -1.0, 10.0, 0.48473026814791137, 100.0)
(31, 7.0, 10.0, 0.48424553787976343, 100.0)
(32, 14.0, 10.0, 0.48376129234188364, 100.0)
(33, -5.0, 10.0, 0.48327753104954174, 100.0)
(34, 2.0, 10.0, 0.4827942535184922, 100.0)
(35, 0.0, 10.0, 0.4823114592649737, 100.0)
(36, -2.0, 10.0, 0.48182914780570874, 100.0)
(37, 3.0, 10.0, 0.48134731865790303, 100.0)
(38, -9.0, 10.0, 0.48086597133924514, 100.0)
