Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 2.0, 10.0, 0.4995, 100.0)
(1, 3.0, -8.437526187704684, 0.4990005, 71.19184816820234)
(2, 1.0, -10.0, 0.4985014995, 100.0)
(3, -5.0, 10.0, 0.4980029980005, 100.0)
(4, -18.0, 10.0, 0.4975049950024995, 100.0)
(5, 2.0, 10.0, 0.497007490007497, 100.0)
(6, 3.0, -10.0, 0.4965104825174895, 100.0)
(7, -4.0, 10.0, 0.49601397203497205, 100.0)
(8, 3.0, -10.0, 0.4955179580629371, 100.0)
(9, 0.0, 8.76289965526597, 0.4950224401048741, 76.78841036826046)
(10, 5.0, -2.621445513195952, 0.49452741766476926, 6.871976578655188)
(11, -6.0, -10.0, 0.4940328902471045, 100.0)
(12, 0.0, -10.0, 0.4935388573568574, 100.0)
(13, -5.0, 10.0, 0.4930453184995005, 100.0)
(14, 3.0, -10.0, 0.49255227318100103, 100.0)
(15, 2.0, 3.168336495253029, 0.49205972090782, 10.038356147152246)
(16, 3.0, -10.0, 0.4915676611869122, 100.0)
(17, 4.0, -10.0, 0.4910760935257253, 100.0)
(18, 24.0, -10.0, 0.49058501743219957, 100.0)
(19, 4.0, -10.0, 0.49009443241476736, 100.0)
(20, 6.0, -10.0, 0.4896043379823526, 100.0)
(21, 0.0, 5.19672264381122, 0.48911473364437025, 27.005926236700272)
(22, 2.0, -10.0, 0.48862561891072587, 100.0)
(23, -7.0, -10.0, 0.48813699329181515, 100.0)
(24, 8.0, -10.0, 0.48764885629852334, 100.0)
(25, -6.0, -8.468396758740035, 0.4871612074422248, 71.71374366343872)
(26, 2.0, -6.700868083992215, 0.48667404623478255, 44.9016330790655)
(27, 1.0, -10.0, 0.4861873721885478, 100.0)
(28, 5.0, -10.0, 0.48570118481635927, 100.0)
(29, 0.0, 4.673548387376339, 0.48521548363154293, 21.84205452914798)
(30, -8.0, -1.7517008232494549, 0.48473026814791137, 3.068455774172818)
(31, 0.0, -10.0, 0.48424553787976343, 100.0)
(32, 0.0, -4.920336178261056, 0.48376129234188364, 24.209708107104618)
(33, 6.0, -10.0, 0.48327753104954174, 100.0)
(34, 3.0, -10.0, 0.4827942535184922, 100.0)
(35, 4.0, -10.0, 0.4823114592649737, 100.0)
(36, -12.0, -9.835326205697253, 0.48182914780570874, 96.73364157247512)
(37, 1.0, -9.115983911577542, 0.48134731865790303, 83.10116267614059)
(38, -2.0, -10.0, 0.48086597133924514, 100.0)
(39, -1.0, -7.638485510405601, 0.4803851053679059, 58.34646089267631)
(40, -4.0, -10.0, 0.479904720262538, 100.0)
(41, -2.0, -10.0, 0.47942481554227545, 100.0)
(42, -2.0, -5.084853549998925, 0.4789453907267332, 25.855735624936674)
(43, 2.0, -10.0, 0.47846644533600646, 100.0)
(44, -7.0, -5.571054278568858, 0.47798797889067046, 31.036645774760377)
(45, -1.0, -10.0, 0.4775099909117798, 100.0)
(46, -2.0, -10.0, 0.47703248092086803, 100.0)
(47, 4.0, 0.9134973376823545, 0.4765554484399472, 0.8344773859527497)
(48, -4.0, -3.4298472123476946, 0.47607889299150724, 11.763851900049252)
(49, 2.0, -10.0, 0.47560281409851574, 100.0)
(50, -1.0, 10.0, 0.4751272112844172, 100.0)
(51, 2.0, -10.0, 0.4746520840731328, 100.0)
(52, 2.0, -4.410187701073062, 0.47417743198905965, 19.449755558696104)
(53, -1.0, -10.0, 0.4737032545570706, 100.0)
(54, 8.0, 9.792079205471381, 0.4732295513025135, 95.88481516622504)
(55, -1.0, -10.0, 0.47275632175121096, 100.0)
(56, 1.0, 0.5837796155247874, 0.47228356542945976, 0.34079863950226863)
(57, 1.0, 10.0, 0.4718112818640303, 100.0)
