Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(0, 1.0, -3.374083632717387, 0.4995, 11.384440360571359)
(1, 2.0, 10.0, 0.4990005, 100.0)
(2, -1.0, 10.0, 0.4985014995, 100.0)
(3, 3.0, 10.0, 0.4980029980005, 100.0)
(4, 4.0, 8.965042218304093, 0.4975049950024995, 80.37198197597478)
(5, 0.0, 1.0767006024935775, 0.497007490007497, 1.1592841874100328)
(6, 1.0, 10.0, 0.4965104825174895, 100.0)
(7, 2.0, 10.0, 0.49601397203497205, 100.0)
(8, 2.0, 10.0, 0.4955179580629371, 100.0)
(9, -6.0, -3.1991746045433365, 0.4950224401048741, 10.234718150355013)
(10, -13.0, 10.0, 0.49452741766476926, 100.0)
(11, -2.0, -10.0, 0.4940328902471045, 100.0)
(12, -1.0, 7.976122078039273, 0.4935388573568574, 63.61852340378553)
(13, 5.0, 4.716201191038349, 0.4930453184995005, 22.242553674351537)
(14, 3.0, -10.0, 0.49255227318100103, 100.0)
(15, -2.0, -1.2108770440110534, 0.49205972090782, 1.4662232157129467)
(16, 2.0, 10.0, 0.4915676611869122, 100.0)
(17, 3.0, -2.589132461704841, 0.4910760935257253, 6.7036069042537685)
(18, 2.0, -9.127843764020362, 0.49058501743219957, 83.31753178036541)
(19, -8.0, -10.0, 0.49009443241476736, 100.0)
(20, -4.0, -10.0, 0.4896043379823526, 100.0)
(21, 1.0, -10.0, 0.48911473364437025, 100.0)
(22, 0.0, 6.153917047026996, 0.48862561891072587, 37.870695021689464)
(23, 0.0, -10.0, 0.48813699329181515, 100.0)
(24, 1.0, 1.4036404911776619, 0.48764885629852334, 1.9702066284734678)
(25, -2.0, -10.0, 0.4871612074422248, 100.0)
(26, 0.0, -10.0, 0.48667404623478255, 100.0)
(27, -4.0, -10.0, 0.4861873721885478, 100.0)
(28, 0.0, -10.0, 0.48570118481635927, 100.0)
(29, 1.0, -10.0, 0.48521548363154293, 100.0)
(30, -2.0, -10.0, 0.48473026814791137, 100.0)
(31, 7.0, -10.0, 0.48424553787976343, 100.0)
(32, -1.0, -10.0, 0.48376129234188364, 100.0)
(33, -1.0, -10.0, 0.48327753104954174, 100.0)
(34, 1.0, -10.0, 0.4827942535184922, 100.0)
(35, 2.0, -6.532531267027149, 0.4823114592649737, 42.67396475468733)
(36, 2.0, -1.263013886786248, 0.48182914780570874, 1.595204078214905)
(37, 1.0, 5.347092101291247, 0.48134731865790303, 28.591393939691248)
(38, -1.0, -10.0, 0.48086597133924514, 100.0)
(39, 4.0, -10.0, 0.4803851053679059, 100.0)
